Locus	GCF_020616775	GCF_018517125	B537	GCF_013344625	GCF_011193375	GCF_000550745	GCF_906464895	GCF_017280035	GCF_000007785	GCF_017639585	GCF_006494835	GCF_004332015	GCF_001689055	GCF_006766145	GCF_003345275	GCF_906464915	GCF_003030425	GCF_001989555	GCF_003966385	GCF_006494875	GCF_002163735	GCF_005158025	GCF_010103655	GCF_009498175	GCF_009662495	GCF_013344645	GCF_019222705	GCF_001598635	GCF_004332035	GCF_002355755	GCF_003812665	GCF_005979285	GCF_000317915	GCF_002208945	GCF_020616875	GCF_015377745	GCF_000172575	GCF_906464925	GCF_019774535	GCF_906464875	GCF_016743895	GCF_902379005	GCF_901553725	GCF_006364815	GCF_002289045	GCF_000281195	GCF_000391485	GCF_000742975	GCF_019856595	GCF_013344605	GCF_012594215	GCF_014844235	GCF_020616935	GCF_017280235	GCF_006349345	GCF_005484525	GCF_016812095	GCF_003966405	GCF_002814115	GCF_900636775	GCF_906464865	GCF_906464835	GCF_005979305	GCF_013344665	GCF_006494855	GCF_014489455	GCF_018986755	GCF_019195415	GCF_017357805
OG1RFRS00015	69	31	9	24	41	39	8	6	2	85	2	2	10	18	24	10	12	24	13	2	2	8	6	37	16	24	0	8	75	90	24	0	8	10	8	0	1	55	38	6	38	8	10	9	10	10	2	24	41	9	6	173	10	6	6	8	6	13	29	10	23	69	67	2	2	7	24	8	41
OG1RFRS00020	67	36	8	27	44	11	2	6	2	84	2	33	55	19	27	11	11	27	12	2	2	43	6	19	17	27	0	26	73	81	27	96	26	11	43	31	1	57	41	6	41	26	11	8	9	9	2	27	44	8	6	85	0	6	6	70	6	12	34	11	26	67	65	2	2	7	27	2	13
OG1RFRS00030	33	34	43	27	45	13	9	7	2	33	2	5	11	20	36	13	13	36	14	2	57	18	7	41	19	27	14	16	73	64	36	26	16	13	18	29	1	18	42	7	42	16	13	43	11	11	2	27	45	10	7	68	13	7	7	70	7	14	31	13	26	33	1	2	2	8	36	9	0
OG1RFRS00035	84	35	9	28	47	12	8	6	2	105	2	32	10	20	65	12	12	65	13	2	2	121	6	41	18	28	0	15	88	83	37	27	45	12	17	0	1	0	43	6	43	45	12	9	10	10	2	28	47	9	6	107	12	6	6	87	6	13	33	12	27	84	82	2	2	7	37	8	91
OG1RFRS00040	105	42	10	22	313	14	0	69	43	132	43	39	21	23	45	14	13	45	15	43	83	157	7	49	51	22	0	17	111	146	65	55	17	14	18	0	1	75	52	175	52	17	14	10	156	21	43	22	253	10	7	134	14	69	7	43	69	15	40	14	55	105	102	43	43	58	0	142	116
OG1RFRS00045	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	24	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
OG1RFRS00050	1	6	1	1	6	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1	24	1	1	1	13	1	1	1	1	1	1	1	2	2	4	1	1	1
OG1RFRS00055	5	2	5	2	2	5	4	2	1	0	1	2	6	5	1	5	5	1	1	1	1	5	2	2	2	2	5	2	2	13	1	2	2	5	5	2	1	1	5	2	5	2	5	5	6	6	1	2	2	5	2	2	5	2	2	5	2	1	1	5	2	5	5	1	1	3	1	4	1
OG1RFRS00060	14	38	121	30	51	14	8	6	2	100	2	35	21	23	42	14	13	42	15	2	2	19	6	46	20	30	0	17	0	110	42	30	17	14	0	0	1	0	52	6	52	17	14	121	21	21	2	30	0	9	6	102	14	6	6	44	6	15	36	14	30	14	75	2	2	7	42	8	86
OG1RFRS00065	15	15	4	18	6	5	5	6	2	1	2	15	8	6	23	5	5	23	18	2	2	5	6	25	13	18	38	5	17	47	23	17	5	5	5	20	1	33	1	6	1	5	5	4	8	8	2	18	6	4	6	1	5	6	6	12	6	18	22	5	17	15	38	2	2	7	23	5	15
