Locus	Gene	Start	Length	Product	Allele Count	Alleles
lmo0001	dnaA	318	1356	chromosome replication initiator DnaA	507	lmo0001.fasta
lmo0002	dnaN	1867	1146	DNA polymerase III subunit beta	630	lmo0002.fasta
lmo0003		3121	1344	hypothetical protein	847	lmo0003.fasta
lmo0004		4644	222	hypothetical protein	125	lmo0004.fasta
lmo0005	recF	4869	1113	recombination protein F	591	lmo0005.fasta
lmo0006	gyrB	6030	1941	DNA gyrase subunit B	834	lmo0006.fasta
lmo0007	gyrA	8065	2529	DNA gyrase subunit A	947	lmo0007.fasta
lmo0008		10728	1515	cardiolipin synthase	898	lmo0008.fasta
lmo0009		12258	519	spermidine acetyltransferase	269	lmo0009.fasta
lmo0012		14795	1080	mevalonate kinase	598	lmo0012.fasta
lmo0013	qoxA	16219	1107	AA3-600 quinol oxidase subunit II	593	lmo0013.fasta
lmo0014	qoxB	17344	1980	AA3-600 quinol oxidase subunit I	890	lmo0014.fasta
lmo0016	qoxD	19924	333	quinol oxidase aa3-600 subunit IV	211	lmo0016.fasta
lmo0018		21652	1434	beta-glucosidase	908	lmo0018.fasta
lmo0020		24194	741	GntR family transcriptional regulator	415	lmo0020.fasta
lmo0021		24950	402	PTS fructose transporter subunit IIA	360	lmo0021.fasta
lmo0022		25351	489	PTS fructose transporter subunit IIB	390	lmo0022.fasta
lmo0024		26640	828	PTS mannose transporter subunit IID	502	lmo0024.fasta
lmo0025		27495	705	phosphoheptose isomerase	388	lmo0025.fasta
lmo0026		28254	642	copper homeostasis protein CutC	497	lmo0026.fasta
lmo0027		29100	1905	PTS beta-glucoside transporter subunit IIABC	1018	lmo0027.fasta
lmo0029		32197	339	hypothetical protein	210	lmo0029.fasta
lmo0030		32571	810	hypothetical protein	503	lmo0030.fasta
lmo0031		33397	1056	LacI family transcription regulator	562	lmo0031.fasta
lmo0033		35616	2403	endoglucanase	1154	lmo0033.fasta
lmo0034		38031	1353	PTS cellbiose transporter subunit IIC	693	lmo0034.fasta
lmo0035		39385	1086	glucosamine--fructose-6-phosphate aminotransferase	473	lmo0035.fasta
lmo0042		47335	660	DedA protein	351	lmo0042.fasta
lmo0044	rpsF	49585	294	30S ribosomal protein S6	85	lmo0044.fasta
lmo0045	ssb	49934	537	single-strand binding protein	274	lmo0045.fasta
lmo0046	rpsR	50514	240	30S ribosomal protein S18	85	lmo0046.fasta
lmo0048		51775	615	sensor histidine kinase AgrB	302	lmo0048.fasta
lmo0051		53944	729	response regulator	527	lmo0051.fasta
lmo0052		54839	1974	hypothetical protein	838	lmo0052.fasta
lmo0053	rplI	56815	447	50S ribosomal protein L9	262	lmo0053.fasta
lmo0054	dnaC	57286	1353	replicative DNA helicase	712	lmo0054.fasta
lmo0055	purA	58897	1293	adenylosuccinate synthetase	681	lmo0055.fasta
lmo0056		60506	294	heat shock protein	122	lmo0056.fasta
lmo0075		79047	774	carboxyphosphonoenolpyruvate phosphonomutase	706	lmo0075.fasta
lmo0076		79817	1053	O6-methylguanine-DNA methyltransferase	714	lmo0076.fasta
lmo0077		80892	639	hypothetical protein	581	lmo0077.fasta
lmo0078		81661	957	phosphoglycerate dehydrogenase	688	lmo0078.fasta
lmo0088		97127	243	ATP synthase subunit C	100	lmo0088.fasta
lmo0096		104134	966	PTS mannose transporter subunit IIAB	591	lmo0096.fasta
lmo0097		105123	807	PTS mannose transporter subunit IIC	335	lmo0097.fasta
lmo0098		105951	912	PTS mannose transporter subunit IID	371	lmo0098.fasta
lmo0099		106988	390	hypothetical protein	185	lmo0099.fasta
lmo0102		108320	291	hypothetical protein	263	lmo0102.fasta
lmo0103		108624	633	NADH oxidase	475	lmo0103.fasta
lmo0105		110013	2271	chitinase B	1292	lmo0105.fasta
lmo0107		113313	1782	ABC transporter ATP-binding protein	963	lmo0107.fasta
lmo0109		116972	834	AraC family transcriptional regulator	562	lmo0109.fasta
lmo0110		117841	1116	lipase	755	lmo0110.fasta
lmo0111		119063	708	hypothetical protein	419	lmo0111.fasta
lmo0113		120654	453	hypothetical protein	262	lmo0113.fasta
lmo0114		121112	336	repressor C1	189	lmo0114.fasta
lmo0115	lmaD	121664	429	hypothetical protein	290	lmo0115.fasta
lmo0116	lmaC	122104	417	hypothetical protein	387	lmo0116.fasta
lmo0131		133961	750	hypothetical protein	569	lmo0131.fasta
lmo0132		134782	1509	inosine 5-monophosphate dehydrogenase	908	lmo0132.fasta
lmo0133		136469	234	hypothetical protein	220	lmo0133.fasta
lmo0134		136714	279	hypothetical protein	243	lmo0134.fasta
lmo0135		137323	1575	peptide ABC transporter substrate-binding protein	995	lmo0135.fasta
lmo0136		138999	951	peptide ABC transporter permease	695	lmo0136.fasta
lmo0137		139960	894	peptide ABC transporter permease	755	lmo0137.fasta
lmo0152		148354	1656	peptide ABC transporter substrate-binding protein	1144	lmo0152.fasta
lmo0153		150232	942	zinc ABC transporter substrate-binding protein	682	lmo0153.fasta
lmo0155		151839	807	zinc ABC transporter permease	540	lmo0155.fasta
lmo0158		155993	813	hypothetical protein	522	lmo0158.fasta
lmo0162		162467	993	DNA polymerase III subunit delta'	604	lmo0162.fasta
lmo0163		163465	834	hypothetical protein	462	lmo0163.fasta
lmo0164		164309	390	DNA replication intiation control protein YabA	166	lmo0164.fasta
lmo0167		165761	882	hypothetical protein	534	lmo0167.fasta
lmo0169		167086	858	glucose transporter	485	lmo0169.fasta
lmo0176		174834	861	glucose transporter	521	lmo0176.fasta
lmo0177	metS	175766	1995	methionyl-tRNA synthetase	898	lmo0177.fasta
lmo0185		189625	774	hypothetical protein	582	lmo0185.fasta
lmo0188	ksgA	192586	888	dimethyladenosine transferase	601	lmo0188.fasta
lmo0189		193593	258	Veg protein	65	lmo0189.fasta
lmo0190	ipk	193989	882	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	224	lmo0190.fasta
lmo0191		194892	738	phospho-beta-glucosidase	432	lmo0191.fasta
lmo0192		195793	819	PurR family transcriptional regulator	308	lmo0192.fasta
lmo0193		196786	678	hypothetical protein	450	lmo0193.fasta
lmo0194		197512	693	"ABC transporter, ATP-binding protein"	367	lmo0194.fasta
lmo0195		198201	1209	ABC transporter permease	583	lmo0195.fasta
lmo0198	glmU	201217	1374	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	659	lmo0198.fasta
