Locus	Gene	Start	Length	Product	Allele Count	Alleles
OG1RFRS00015		59	1344	chromosomal replication initiator protein DnaA	188	OG1RF_RS00015.fasta
OG1RFRS00020		1604	1131	DNA polymerase III subunit beta	178	OG1RF_RS00020.fasta
OG1RFRS00030		3545	1128	DNA replication and repair protein RecF	168	OG1RF_RS00030.fasta
OG1RFRS00035		4669	1950	DNA gyrase subunit B	260	OG1RF_RS00035.fasta
OG1RFRS00040		6674	2502	DNA gyrase subunit A	356	OG1RF_RS00040.fasta
OG1RFRS00045		9350	303	30S ribosomal protein S6	26	OG1RF_RS00045.fasta
OG1RFRS00050		9697	567	single-stranded DNA-binding protein	56	OG1RF_RS00050.fasta
OG1RFRS00055		10289	240	30S ribosomal protein S18	25	OG1RF_RS00055.fasta
OG1RFRS00060		10733	1977	DHH family phosphoesterase	292	OG1RF_RS00060.fasta
OG1RFRS00065		12715	453	50S ribosomal protein L9	96	OG1RF_RS00065.fasta
OG1RFRS00070		13440	1368	replicative DNA helicase	210	OG1RF_RS00070.fasta
OG1RFRS00075		15045	1293	adenylosuccinate synthetase	164	OG1RF_RS00075.fasta
OG1RFRS00080		16462	870	hypothetical protein	180	OG1RF_RS00080.fasta
OG1RFRS00085		17727	1632	ABC-F family ATPase	237	OG1RF_RS00085.fasta
OG1RFRS00090		19611	2886	transcription antiterminator BglG	382	OG1RF_RS00090.fasta
OG1RFRS00095		22699	513	PTS fructose transporter subunit IIB	68	OG1RF_RS00095.fasta
OG1RFRS00100		23446	993	PTS mannose transporter subunit EIIAB	140	OG1RF_RS00100.fasta
OG1RFRS00105		24473	804	PTS mannose/fructose/sorbose transporter subunit IIC	101	OG1RF_RS00105.fasta
OG1RFRS00110		25299	912	PTS mannose transporter subunit IID	128	OG1RF_RS00110.fasta
OG1RFRS00115		26372	378	hypothetical protein	44	OG1RF_RS00115.fasta
OG1RFRS00120		26997	528	membrane protein	79	OG1RF_RS00120.fasta
OG1RFRS00125		27571	204	hypothetical protein	33	OG1RF_RS00125.fasta
OG1RFRS00130		27972	771	phosphosugar-binding transcriptional regulator	177	OG1RF_RS00130.fasta
OG1RFRS00140		30474	1215	aminotransferase	261	OG1RF_RS00140.fasta
OG1RFRS00145		31788	381	RidA family protein	93	OG1RF_RS00145.fasta
OG1RFRS00150		32360	2592	TIGR00374 family protein	377	OG1RF_RS00150.fasta
OG1RFRS00160		36277	2616	copper ABC transporter permease	375	OG1RF_RS00160.fasta
OG1RFRS00170		39436	510	ClbS/DfsB family four-helix bundle protein	161	OG1RF_RS00170.fasta
OG1RFRS00175		39953	468	VOC family protein	134	OG1RF_RS00175.fasta
OG1RFRS00180		40497	936	DeoR family transcriptional regulator	192	OG1RF_RS00180.fasta
OG1RFRS00185		41524	1254	gamma-glutamyl-phosphate reductase	284	OG1RF_RS00185.fasta
OG1RFRS00195		43905	480	dUTP diphosphatase	85	OG1RF_RS00195.fasta
OG1RFRS00200		44463	1371	DNA repair protein RadA	240	OG1RF_RS00200.fasta
OG1RFRS00205		45937	1146	twitching motility protein PilT	177	OG1RF_RS00205.fasta
OG1RFRS00210		47101	474	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	101	OG1RF_RS00210.fasta
OG1RFRS00215		47627	1458	glutamate--tRNA ligase	201	OG1RF_RS00215.fasta
OG1RFRS13235		49178	180	hypothetical protein	26	OG1RF_RS13235.fasta
OG1RFRS00225		49886	1413	cysteine--tRNA ligase	263	OG1RF_RS00225.fasta
