Locus	Gene	Start	Length	Product	Allele Count	Alleles
STMMW00001		169	87	thr operon leader peptide	50	STMMW_00001.fasta
STMMW00011		337	2463	aspartokinase I/homoserine dehydrogenase I	1012	STMMW_00011.fasta
STMMW00021		2801	930	HK	500	STMMW_00021.fasta
STMMW00031		3734	1287	threonine synthase	720	STMMW_00031.fasta
STMMW00041		5114	774	conserved hypothetical protein	461	STMMW_00041.fasta
STMMW00051		5966	1431	putative amino-acid transport protein	726	STMMW_00051.fasta
STMMW00061		7665	954	transaldolase B	487	STMMW_00061.fasta
STMMW00071		8729	591	molybdopterin biosynthesis Mog protein	334	STMMW_00071.fasta
STMMW00081		9376	567	putative membrane protein	286	STMMW_00081.fasta
STMMW00091		10092	714	conserved hypothetical protein	482	STMMW_00091.fasta
STMMW00101		10841	405	putative exported protein	221	STMMW_00101.fasta
STMMW00111		11593	1917	DnaK protein (heat shock protein 70)	776	STMMW_00111.fasta
STMMW00121		13595	1140	DNAJ protein	468	STMMW_00121.fasta
STMMW00131		15014	948	putative regulatory protein	572	STMMW_00131.fasta
STMMW00141		16088	345	putative phage protein	221	STMMW_00141.fasta
STMMW00151		16493	534	conserved hypothetical protein	290	STMMW_00151.fasta
STMMW00161		17043	444	putative membrane protein	272	STMMW_00161.fasta
STMMW00171		17867	2100	putative chitinase	801	STMMW_00171.fasta
STMMW00191		23335	705	conserved hypothetical protein	356	STMMW_00191.fasta
STMMW00361		40131	1494	putative secreted sulfatase	692	STMMW_00361.fasta
STMMW00401		46190	1167	Na(+)/H(+) antiporter 1	635	STMMW_00401.fasta
STMMW00441		52280	264	30S ribosomal protein S20	69	STMMW_00441.fasta
STMMW00451		52649	216	conserved hypothetical protein	85	STMMW_00451.fasta
STMMW00461		52872	939	riboflavin biosynthesis protein RibF	418	STMMW_00461.fasta
STMMW00471		53855	2835	isoleucyl-tRNA synthetase	921	STMMW_00471.fasta
STMMW00481		56689	501	lipoprotein signal peptidase	279	STMMW_00481.fasta
STMMW00491		57344	450	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase	243	STMMW_00491.fasta
STMMW00501		57796	951	LytB protein	572	STMMW_00501.fasta
STMMW00651		74017	822	dihydrodipicolinate reductase	516	STMMW_00651.fasta
STMMW00681		75881	1149	carbamoyl-phosphate synthase small chain	711	STMMW_00681.fasta
STMMW00701		80549	396	transcriptional activator CaiF	173	STMMW_00701.fasta
STMMW00721		81726	786	carnitine racemase	624	STMMW_00721.fasta
STMMW00731		82565	1554	probable crotonobetaine/carnitine-CoA ligase	704	STMMW_00731.fasta
STMMW00741		84181	1218	L-carnitine dehydratase	695	STMMW_00741.fasta
STMMW00751		85510	1143	probable carnitine operon oxidoreductase CaiA	651	STMMW_00751.fasta
STMMW00761		86687	1518	probable carnitine transporter	764	STMMW_00761.fasta
STMMW00781		89471	942	FixB protein	555	STMMW_00781.fasta
STMMW00791		90462	1287	FixC protein	738	STMMW_00791.fasta
STMMW00801		91745	288	ferredoxin like protein FixX	265	STMMW_00801.fasta
STMMW00821		93575	264	putative lipoprotein	128	STMMW_00821.fasta
STMMW00901		98256	531	putative NAD(P)H oxidoreductase	379	STMMW_00901.fasta
STMMW00911		98779	1863	glutathione-regulated potassium-efflux system protein KefC	936	STMMW_00911.fasta
STMMW00921		100840	480	dihydrofolate reductase type I	293	STMMW_00921.fasta
STMMW00931		101425	849	bis(5'-nucleosyl)-tetraphosphatase	498	STMMW_00931.fasta
STMMW00941		102284	378	CorD protein	170	STMMW_00941.fasta
STMMW00951		102664	822	dimethyladenosine transferase	398	STMMW_00951.fasta
STMMW00961		103482	990	pyridoxal phosphate biosynthetic protein PdxA	589	STMMW_00961.fasta
STMMW00971		104471	1287	survival protein SurA precursor	613	STMMW_00971.fasta
STMMW00981		105811	2361	organic solvent tolerance protein precursor	871	STMMW_00981.fasta
