Locus	GCF_001999065	GCF_002214105	GCF_016775745	GCF_018735785	GCF_002214005	GCF_014843335	GCF_003999665	GCF_003390475	GCF_014304775	GCF_001483405	GCF_002213965	GCF_001483425	GCF_018968745	GCF_010442835	GCF_002043045	GCF_001027125	GCF_018336735	GCF_013122235	GCF_002848485	GCF_004771195	GCF_000307065	GCF_002105635	GCF_009730635	GCF_000513595	GCF_000306985	GCF_900231485	GCF_000568475	GCF_013177375	GCF_018336775	GCF_018336655	GCF_002213785	GCF_001047715	GCF_000306905	GCF_900637785	GCF_000307005	GCF_001596775	GCF_001454925	GCF_013177415	GCF_001027065	GCF_000307045	GCF_002213985	GCF_001551855	GCF_000026705	GCF_015583955	GCF_001548635	GCF_002848505	GCF_001454865	GCF_001005985	GCF_008807975	GCF_001188655	GCF_900637775	GCF_018966805	GCF_001998985	GCF_018336755	GCF_002213565	GCF_008807875	GCF_002213585	GCF_003043895	GCF_001952755	GCF_001027085	GCF_008807935	GCF_014983945	GCF_002213765	GCF_018336695	GCF_004101665	GCF_003031955	GCF_002843525	GCF_900275645	GCF_000438645	GCF_003144075	GCF_000258905	GCF_014304695	GCF_018336715	GCF_006364035	GCF_000168595	GCF_002285835	GCF_001889645	GCF_009648595	GCF_002213885	GCF_003812545	GCF_018604305	GCF_018604265	GCF_002831485	GCF_001454845	GCF_004763665	GCF_002213645	GCF_018336675	GCF_003433415	GCF_002116675	GCF_003409075	GCF_001454885	GCF_000195395	GCF_000438725	GCF_018336635	GCF_016802645	GCF_000577745	GCF_001999105	GCF_001999025	GCF_009664755	GCF_000746625	GCF_014843315	GCF_016728025	GCF_000513635	GCF_002214085	GCF_000582845	GCF_002214065	GCF_016775765	GCF_001998945	GCF_002213685	GCF_013389395	GCF_905219375	GCF_000950775	GCF_001548585	GCF_016767835	GCF_002213545	GCF_009648655	GCF_900187225	GCF_018604205	GCF_003032055	GCF_016757715	GCF_002105675	GCF_000438745	GCF_905219385	GCF_002213945	GCF_000307615	GCF_003900515	GCF_001513695	GCF_003030405	GCF_009866905	GCF_002213865	GCF_014987905	GCF_002213805	GCF_009648695	GCF_002214125	GCF_004771175	GCF_002213505	GCF_002557815	GCF_004142705	GCF_018966765	GCF_001188045	GCF_001999005	GCF_008807955	GCF_003031935	GCF_002101275	GCF_001913195	GCF_001999165	GCF_014843295	GCF_016775725	GCF_001999085	GCF_018604325	GCF_002220325	GCF_002105615	GCF_002105715	GCF_009648635	GCF_000513675	GCF_002105655	GCF_002213845	GCF_000613085	GCF_000513695	GCF_001889585	GCF_000022925	GCF_000513615	GCF_000195435	GCF_002214145	GCF_000438625	GCF_000209755	GCF_014304675	GCF_000568935	GCF_000808055	GCF_000168635	GCF_019332005	GCF_000318055	GCF_001999145	GCF_001027245	GCF_900231475	GCF_002848425	GCF_009664735	GCF_000093125	GCF_000307085	GCF_001027165	GCF_018336795	GCF_002213605	GCF_003722375	GCF_018735945	GCF_000438685	GCF_000438705	GCF_002213705	GCF_015689035	GCF_001644625	GCF_001998915	GCF_001027205	GCF_018310555	GCF_018106265	GCF_014983645	GCF_002285655	GCF_002848465	GCF_013177395	GCF_014334275	GCF_002105695	GCF_008807915	GCF_018736025	GCF_000681515	GCF_002214045	GCF_000021185	GCF_014843275	GCF_009866885	GCF_000197755	GCF_000513655	GCF_001952795	GCF_009664775	GCF_000168575	GCF_002213745	GCF_002208215	GCF_009730615	GCF_000438585	GCF_018604185	GCF_002557735	GCF_008807895	GCF_000438665	GCF_000168695	GCF_018604285	GCF_013137935	GCF_000218305	GCF_003032075	GCF_001999125	GCF_003030165	GCF_002025165	GCF_000438605	GCF_000800335	GCF_014983505	GCF_002213905	GCF_003031975	GCF_002969195	GCF_002213825	GCF_006364655	GCF_018604245	GCF_001908335	GCF_001483445	GCF_002213665	GCF_001188025	GCF_000008285	GCF_000196035	GCF_018604225	GCF_009648675	GCF_009648615	GCF_002213925	GCF_018672415	GCF_000600015	GCF_001999045	GCF_000210815	GCF_002213625	GCF_003812565	GCF_003031915	GCF_001952735	GCF_010443035	GCF_002213725	GCF_004768685	GCF_003031895	GCF_902385845	GCF_001952775	GCF_001005925	B33116
lmo0001	0	2	0	2	2	2	8	2	3	15	2	3	71	3	2	3	3	7	1	14	5	80	3	6	10	4	3	2	2	9	1	2	7	3	1	3	2	429	12	3	2	3	4	6	2	1	5	3	5	5	3	44	2	2	6	112	6	1	6	3	39	6	1	3	2	9	1	2	3	3	4	3	2	2	8	2	2	2	2	57	6	3	1	2	3	6	6	2	244	2	5	2	2	6	2	9	2	6	9	6	74	3	6	2	3	2	2	2	6	1	2	4	2	2	6	2	3	3	2	16	43	2	2	2	2	3	6	2	2	3	6	3	2	3	2	2	1	7	4	2	9	2	14	7	6	0	3	10	16	9	2	8	3	2	6	3	3	6	6	2	6	2	2	3	2	5	179	2	2	9	16	2	2	3	3	1	8	6	4	2	3	6	2	0	7	2	6	115	1	0	3	1	2	2	2	1	2	2	3	5	2	2	6	5	7	1	7	6	6	1	0	1	2	3	7	2	1	23	2	3	14	2	5	1	15	160	2	8	2	2	6	3	1	3	2	9	2	6	6	2	2	1	9	2	2	2	3	2	2	1	6	82	2	6	5	6	12	2	2	6	2	2
lmo0002	0	2	2	2	2	2	1	2	1	1	2	13	115	1	2	1	1	2	1	8	6	1	1	1	10	2	1	2	2	8	1	34	9	1	1	1	2	2	12	1	2	1	2	1	2	1	6	1	461	3	1	141	15	2	1	50	1	1	1	1	2	1	1	1	2	29	1	2	5	1	2	1	2	2	1	2	2	34	2	1	1	13	1	2	1	1	1	2	292	2	6	2	2	1	2	8	2	1	8	1	86	1	1	2	1	2	0	2	1	1	2	2	2	2	1	34	1	13	2	17	19	2	2	2	2	1	1	2	2	5	1	1	2	1	2	2	1	7	2	2	8	37	8	2	1	0	1	10	32	8	2	1	13	34	1	28	5	1	1	2	1	2	2	1	2	3	1	2	2	8	17	2	2	1	1	1	1	1	2	2	1	1	2	13	4	2	1	108	1	0	1	1	2	2	2	1	2	2	1	461	0	2	1	3	4	1	4	1	1	1	1	1	2	1	7	2	1	17	2	1	8	2	3	1	1	8	2	1	2	2	1	1	1	1	2	8	2	1	1	2	2	1	8	34	34	2	14	2	2	1	1	101	2	1	3	1	12	2	2	1	2	2
lmo0003	0	741	333	0	333	52	7	333	3	50	333	363	156	3	52	3	3	130	1	10	8	22	16	363	7	4	3	333	333	18	1	333	11	3	1	3	333	333	7	3	333	3	4	363	741	1	8	17	685	5	3	110	0	333	363	71	363	1	363	3	19	363	1	3	333	47	1	333	7	3	4	3	333	333	7	741	333	333	333	363	363	363	1	333	3	363	363	333	396	333	8	333	333	363	52	10	741	363	18	363	115	3	363	741	3	333	333	0	363	1	333	4	741	19	363	333	3	363	333	0	62	333	333	333	333	3	363	333	333	7	363	17	741	3	19	333	1	333	0	19	0	11	10	30	363	0	3	0	363	18	19	7	7	333	363	363	7	363	363	333	363	333	333	3	741	5	3	333	333	10	24	333	741	55	16	1	7	363	4	741	3	363	333	363	333	333	363	206	1	0	3	1	333	333	741	1	333	333	3	685	333	333	363	5	333	1	333	363	363	1	1	1	741	16	333	333	1	24	333	3	10	333	5	1	22	10	333	7	333	333	363	29	1	17	333	18	741	363	363	333	333	1	10	333	333	333	14	333	0	1	363	141	333	363	5	363	363	333	741	363	741	333
lmo0004	4	6	4	7	4	12	1	2	1	11	4	1	5	1	12	1	1	4	1	1	5	1	1	1	1	2	1	2	2	1	1	2	7	1	1	1	2	2	1	1	4	1	2	1	6	1	5	1	5	3	1	23	11	2	1	5	1	1	1	1	7	1	1	1	2	1	1	4	1	1	2	1	4	4	1	6	2	2	4	1	1	1	1	4	1	1	1	4	1	4	5	2	2	1	12	1	6	1	1	1	21	1	1	6	1	4	4	12	1	1	2	2	6	10	1	2	1	1	2	1	1	2	2	4	4	1	1	2	2	1	1	1	6	1	10	4	1	4	2	11	1	7	1	10	1	2	1	1	1	1	10	1	1	2	1	1	1	1	1	2	1	4	2	1	6	3	1	4	2	1	1	4	6	1	1	1	1	1	2	6	1	1	4	1	4	2	1	29	1	1	1	1	4	2	6	1	2	2	1	5	4	2	1	3	4	1	4	1	1	1	1	1	6	1	4	2	1	1	4	1	1	2	3	1	1	1	2	1	4	2	1	1	1	1	2	1	6	1	1	2	4	1	1	2	2	4	1	4	2	1	1	5	2	1	3	1	1	2	6	1	6	4
lmo0005	4	10	4	11	4	11	9	2	3	12	4	9	121	3	11	14	3	11	1	18	8	12	17	6	12	4	3	4	2	6	1	4	11	3	1	3	2	4	1	3	4	3	4	6	10	1	8	9	468	5	3	74	11	2	6	56	6	1	6	3	11	6	1	3	258	40	1	4	1	3	4	3	4	4	9	10	2	4	4	12	6	9	1	4	3	6	6	4	300	4	8	2	4	6	11	6	10	6	6	6	96	14	6	10	3	4	4	11	6	1	4	4	10	10	6	4	3	9	2	24	48	4	4	4	4	3	6	2	2	1	6	9	10	3	10	4	1	7	4	23	6	11	18	27	6	4	3	12	42	6	10	9	1	4	6	9	1	6	6	2	6	4	4	3	10	5	3	4	4	6	24	4	10	3	17	1	9	6	4	10	3	6	4	9	7	4	6	84	1	9	3	1	4	4	10	1	4	4	14	468	4	4	6	5	7	1	7	6	6	1	1	1	10	17	7	4	1	32	4	3	18	4	5	1	12	6	2	9	4	2	6	233	1	9	2	6	10	6	6	4	4	1	6	4	4	4	15	4	2	1	6	110	2	6	5	6	1	2	10	6	10	4
lmo0006	4	12	4	56	4	7	10	2	3	15	4	18	166	3	7	6	3	4	1	23	9	15	22	6	15	4	3	13	2	26	1	63	7	3	1	3	2	13	17	3	4	3	4	6	12	1	9	24	234	5	3	184	48	2	6	84	6	1	6	3	7	6	1	3	21	23	1	4	8	3	4	3	4	4	10	34	2	63	4	15	6	18	1	4	3	6	6	4	405	4	9	2	13	6	7	26	12	6	26	6	135	6	6	12	3	4	4	7	6	1	21	4	34	27	6	63	3	18	2	17	73	13	21	4	4	3	6	2	2	8	6	24	38	3	27	4	1	7	4	28	14	56	23	37	6	21	3	15	61	26	27	10	81	63	6	18	8	6	6	2	6	4	13	3	12	5	3	4	21	14	17	4	12	3	22	1	10	6	4	12	3	6	4	18	7	13	6	216	1	24	3	1	4	21	34	1	13	21	6	234	4	21	6	5	7	1	7	6	6	1	1	1	34	22	7	21	1	45	4	3	23	21	5	1	15	26	2	10	4	2	6	35	1	24	2	26	12	6	6	21	11	1	26	63	63	4	19	4	2	1	6	9	2	6	5	6	17	2	12	6	38	4
lmo0007	7	11	7	7	7	33	10	2	3	151	4	20	190	3	33	18	3	7	1	24	9	16	23	6	16	4	3	12	2	30	1	66	15	3	1	3	2	12	21	3	7	3	4	6	11	1	9	26	765	5	3	226	25	2	6	87	6	1	6	3	25	6	1	3	12	24	1	13	8	3	4	3	7	7	10	11	2	66	7	16	6	20	1	7	3	6	6	374	471	13	9	2	12	6	33	29	371	6	30	6	143	18	6	11	3	7	7	33	6	1	12	4	11	31	6	66	3	20	2	10	76	12	12	7	7	3	6	2	2	8	6	26	11	3	31	4	1	7	4	12	14	7	24	39	6	12	3	16	62	30	31	10	263	66	6	60	8	6	6	2	6	7	12	3	11	5	3	7	12	14	10	13	11	3	23	1	10	6	4	11	3	6	13	20	7	12	6	252	1	26	3	1	335	12	11	1	12	12	18	765	7	12	6	5	7	1	7	6	6	1	1	1	11	23	7	12	1	48	7	3	24	12	5	1	16	29	2	10	7	2	6	37	1	26	2	30	11	6	6	12	7	1	29	66	66	7	21	13	2	1	6	171	2	6	5	6	19	2	11	6	11	7
lmo0008	2	10	2	2	2	28	9	2	3	144	58	16	235	3	28	15	3	27	1	22	8	12	67	5	13	2	3	11	2	26	1	63	11	3	1	3	2	11	12	3	2	3	2	5	0	1	8	23	745	4	3	210	47	2	5	223	5	1	5	3	10	5	1	3	11	23	1	2	7	3	2	3	2	6	9	10	2	63	2	12	5	16	1	2	3	5	5	6	12	2	8	2	11	5	28	265	10	5	26	5	138	15	5	10	3	2	2	28	5	12	11	2	10	11	5	63	3	16	2	30	75	11	11	2	2	3	5	2	2	7	5	23	10	3	11	58	1	6	2	27	12	2	22	37	5	11	3	13	23	26	11	9	15	63	5	16	7	5	5	2	5	2	11	3	10	4	3	2	11	12	30	2	10	3	67	1	9	5	2	10	3	5	2	16	0	11	5	239	12	23	3	1	2	11	10	1	11	11	15	745	2	11	5	4	6	1	6	5	5	1	1	1	10	67	6	11	1	12	2	3	22	11	4	1	12	25	2	9	2	2	5	12	1	23	2	26	10	5	5	11	2	1	25	63	63	2	12	2	2	1	5	48	2	5	4	5	7	2	10	5	10	6
lmo0009	6	8	6	6	6	12	5	2	1	1	16	1	86	1	12	5	1	16	1	1	7	10	5	5	10	3	1	3	2	10	1	6	8	1	1	1	2	3	5	1	6	1	3	5	8	1	7	10	232	4	1	48	3	2	5	34	5	1	5	1	8	5	1	1	3	1	1	6	5	1	3	1	13	3	5	8	2	6	6	10	5	1	1	6	1	5	5	3	5	6	7	2	3	5	12	1	8	5	10	5	42	5	5	8	1	6	6	12	5	1	3	3	8	8	5	6	1	1	2	14	29	3	3	6	6	1	5	2	2	5	5	10	8	1	8	16	1	3	3	3	9	6	1	6	5	3	1	10	10	10	8	5	5	6	5	1	5	5	5	2	5	6	3	1	8	4	1	6	3	9	14	6	8	1	5	1	5	5	3	8	1	5	6	1	3	3	5	87	1	10	1	1	6	3	8	1	3	3	5	232	6	3	5	4	3	1	3	5	5	1	1	1	8	5	3	3	1	19	6	1	1	3	4	1	10	1	2	5	6	2	5	5	1	10	2	10	8	5	5	3	6	1	1	6	6	6	5	6	2	1	5	7	2	5	4	5	5	2	8	5	8	3
lmo0012	2	10	2	2	2	19	9	2	3	50	2	12	127	3	19	6	3	2	1	12	8	21	12	6	6	4	3	2	2	6	1	2	10	3	1	3	2	2	12	3	2	3	4	6	10	1	8	9	160	5	3	111	2	2	6	64	6	1	6	3	16	6	1	3	2	12	1	2	6	3	4	3	2	2	9	10	2	2	2	21	6	12	1	2	3	6	6	2	293	2	8	2	2	6	19	12	10	6	6	6	101	6	6	10	3	2	59	19	6	1	2	4	10	17	6	2	3	12	2	12	0	2	2	2	2	3	6	2	2	6	6	9	10	3	17	2	1	11	4	18	12	2	12	29	6	2	3	6	12	6	17	9	175	2	6	12	6	6	6	2	6	2	2	3	10	5	3	2	2	12	12	2	10	3	12	1	9	6	4	10	3	6	2	12	7	2	6	166	1	9	3	1	2	2	10	1	2	2	6	160	2	2	6	5	7	1	7	6	6	1	1	1	10	12	11	2	1	12	2	3	12	2	5	1	21	12	2	9	2	2	6	26	1	9	2	6	10	6	6	2	2	1	12	2	2	2	12	2	2	1	6	8	2	6	5	6	14	2	10	6	10	2
