GCF name	GCF_001999065	GCF_002214105	GCF_016775745	GCF_018735785	GCF_002214005	GCF_014843335	GCF_003999665	GCF_003390475	GCF_014304775	GCF_001483405	GCF_002213965	GCF_001483425	GCF_018968745	GCF_010442835	GCF_002043045	GCF_001027125	GCF_018336735	GCF_013122235	GCF_002848485	GCF_004771195	GCF_000307065	GCF_002105635	GCF_009730635	GCF_000513595	GCF_000306985	GCF_900231485	GCF_000568475	GCF_013177375	GCF_018336775	GCF_018336655	GCF_002213785	GCF_001047715	GCF_000306905	GCF_900637785	GCF_000307005	GCF_001596775	GCF_001454925	GCF_013177415	GCF_001027065	GCF_000307045	GCF_002213985	GCF_001551855	GCF_000026705	GCF_015583955	GCF_001548635	GCF_002848505	GCF_001454865	GCF_001005985	GCF_008807975	GCF_001188655	GCF_900637775	GCF_018966805	GCF_001998985	GCF_018336755	GCF_002213565	GCF_008807875	GCF_002213585	GCF_003043895	GCF_001952755	GCF_001027085	GCF_008807935	GCF_014983945	GCF_002213765	GCF_018336695	GCF_004101665	GCF_003031955	GCF_002843525	GCF_900275645	GCF_000438645	GCF_003144075	GCF_000258905	GCF_014304695	GCF_018336715	GCF_006364035	GCF_000168595	GCF_002285835	GCF_001889645	GCF_009648595	GCF_002213885	GCF_003812545	GCF_018604305	GCF_018604265	GCF_002831485	GCF_001454845	GCF_004763665	GCF_002213645	GCF_018336675	GCF_003433415	GCF_002116675	GCF_003409075	GCF_001454885	GCF_000195395	GCF_000438725	GCF_018336635	GCF_016802645	GCF_000577745	GCF_001999105	GCF_001999025	GCF_009664755	GCF_000746625	GCF_014843315	GCF_016728025	GCF_000513635	GCF_002214085	GCF_000582845	GCF_002214065	GCF_016775765	GCF_001998945	GCF_002213685	GCF_013389395	GCF_905219375	GCF_000950775	GCF_001548585	GCF_016767835	GCF_002213545	GCF_009648655	GCF_900187225	GCF_018604205	GCF_003032055	GCF_016757715	GCF_002105675	GCF_000438745	GCF_905219385	GCF_002213945	GCF_000307615	GCF_003900515	GCF_001513695	GCF_003030405	GCF_009866905	GCF_002213865	GCF_014987905	GCF_002213805	GCF_009648695	GCF_002214125	GCF_004771175	GCF_002213505	GCF_002557815	GCF_004142705	GCF_018966765	GCF_001188045	GCF_001999005	GCF_008807955	GCF_003031935	GCF_002101275	GCF_001913195	GCF_001999165	GCF_014843295	GCF_016775725	GCF_001999085	GCF_018604325	GCF_002220325	GCF_002105615	GCF_002105715	GCF_009648635	GCF_000513675	GCF_002105655	GCF_002213845	GCF_000613085	GCF_000513695	GCF_001889585	GCF_000022925	GCF_000513615	GCF_000195435	GCF_002214145	GCF_000438625	GCF_000209755	GCF_014304675	GCF_000568935	GCF_000808055	GCF_000168635	GCF_019332005	GCF_000318055	GCF_001999145	GCF_001027245	GCF_900231475	GCF_002848425	GCF_009664735	GCF_000093125	GCF_000307085	GCF_001027165	GCF_018336795	GCF_002213605	GCF_003722375	GCF_018735945	GCF_000438685	GCF_000438705	GCF_002213705	GCF_015689035	GCF_001644625	GCF_001998915	GCF_001027205	GCF_018310555	GCF_018106265	GCF_014983645	GCF_002285655	GCF_002848465	GCF_013177395	GCF_014334275	GCF_002105695	GCF_008807915	GCF_018736025	GCF_000681515	GCF_002214045	GCF_000021185	GCF_014843275	GCF_009866885	GCF_000197755	GCF_000513655	GCF_001952795	GCF_009664775	GCF_000168575	GCF_002213745	GCF_002208215	GCF_009730615	GCF_000438585	GCF_018604185	GCF_002557735	GCF_008807895	GCF_000438665	GCF_000168695	GCF_018604285	GCF_013137935	GCF_000218305	GCF_003032075	GCF_001999125	GCF_003030165	GCF_002025165	GCF_000438605	GCF_000800335	GCF_014983505	GCF_002213905	GCF_003031975	GCF_002969195	GCF_002213825	GCF_006364655	GCF_018604245	GCF_001908335	GCF_001483445	GCF_002213665	GCF_001188025	GCF_000008285	GCF_000196035	GCF_018604225	GCF_009648675	GCF_009648615	GCF_002213925	GCF_018672415	GCF_000600015	GCF_001999045	GCF_000210815	GCF_002213625	GCF_003812565	GCF_003031915	GCF_001952735	GCF_010443035	GCF_002213725	GCF_004768685	GCF_003031895	GCF_902385845	GCF_001952775	GCF_001005925	B33116
GCF_001999065	0	1173	115	982	115	1172	1687	1106	1686	1686	1018	1684	1668	1686	1174	1688	1686	1036	1686	1680	1664	1685	1687	1691	1683	1071	1686	1090	1107	1686	1686	1050	1212	1686	1685	1686	1107	1089	1686	1686	114	1686	1081	1691	1185	1686	1665	1686	1663	1665	1687	1661	1023	1108	1691	1666	1691	1686	1691	1686	1183	1691	1686	1686	1088	1680	1686	98	1684	1686	1075	1687	114	496	1686	1187	1104	1052	56	1680	1691	1684	1686	115	1686	1691	1691	501	1680	102	1665	1112	1090	1691	1174	1686	1164	1690	1686	1691	1681	1689	1691	1173	1686	115	103	1168	1691	1684	1083	1079	1184	1182	1691	1050	1686	1684	1109	1683	1683	1090	1083	56	118	1686	1691	1107	1111	1684	1691	1686	1177	1686	1188	1018	1686	1181	1076	1166	1674	983	1680	1163	1691	1071	1686	1682	1682	1686	1182	1688	1682	1051	1691	1684	1684	1691	1691	1107	1691	123	1109	1686	1171	1665	1686	120	1082	1681	1684	110	1168	1686	1688	1686	1687	1691	1071	1172	1686	1691	98	1683	1185	1090	1691	1664	1685	1677	1686	1686	81	1086	1191	1686	1090	1086	1688	1663	105	1080	1691	1665	1178	1687	1180	1691	1691	1686	1685	1686	1194	1688	1181	1082	1686	1685	115	1686	1680	1086	1665	1686	1681	1686	1110	1687	120	1110	1691	1687	1686	1686	1106	1686	1182	1691	1691	1080	109	1687	1686	1052	1050	56	1685	110	1098	1686	1691	1661	1104	1691	1665	1691	1688	1106	1173	1691	1177	497
GCF_002214105	1173	0	1168	1176	1167	1142	1685	1189	1683	1684	1173	1680	1666	1683	1143	1685	1683	1198	1683	1676	1663	1682	1685	1688	1680	1150	1683	1184	1190	1682	1683	1170	1143	1683	1684	1683	1190	1185	1681	1683	1169	1683	1161	1688	79	1683	1663	1683	1661	1664	1685	1661	1187	1192	1688	1662	1688	1683	1688	1683	1073	1688	1683	1683	1185	1677	1683	1160	1680	1683	1163	1684	1165	1180	1684	133	1187	1171	1162	1677	1688	1680	1683	1168	1683	1688	1688	1183	1679	1163	1663	1194	1186	1688	1144	1682	97	1688	1682	1688	1680	1687	1688	1	1683	1170	1170	1104	1688	1682	1182	1153	125	1084	1688	1174	1683	1680	1191	1682	1679	1186	1182	1162	1169	1683	1688	1193	1191	1680	1688	1683	110	1683	1093	1173	1683	1158	1153	1103	1678	1178	1676	1140	1688	1190	1683	1680	1682	1682	1084	1686	1678	1170	1688	1680	1680	1688	1687	1189	1688	1169	1205	1683	47	1664	1683	1167	1185	1679	1682	1161	147	1683	1685	1683	1685	1688	1151	84	1683	1688	1160	1680	1162	1186	1688	1662	1682	1683	1683	1683	1165	1187	145	1683	1187	1185	1685	1661	1166	1182	1688	1664	1157	1684	1159	1688	1688	1683	1683	1683	162	1685	1159	1183	1683	1682	1168	1683	1676	1184	1664	1683	1682	1682	1191	1685	1169	1195	1688	1684	1683	1683	1189	1682	108	1688	1688	1182	1163	1684	1682	1171	1170	1162	1679	1161	1195	1683	1688	1662	1190	1688	1664	1688	1685	1189	1	1688	110	1180
GCF_016775745	115	1168	0	982	98	1172	1687	1095	1686	1686	1010	1684	1667	1686	1174	1688	1686	1022	1686	1680	1664	1684	1688	1691	1683	1070	1686	1080	1095	1686	1686	1044	1206	1686	1685	1686	1095	1079	1686	1686	96	1686	1080	1691	1179	1686	1665	1686	1662	1665	1687	1662	1035	1096	1691	1666	1691	1686	1691	1686	1178	1691	1686	1686	1077	1680	1686	82	1684	1686	1073	1687	96	489	1686	1183	1093	1045	93	1680	1691	1684	1686	99	1685	1691	1691	492	1679	88	1665	1099	1080	1691	1174	1686	1177	1691	1686	1691	1681	1690	1691	1168	1686	97	85	1177	1691	1685	1074	1078	1180	1174	1691	1043	1685	1684	1096	1685	1682	1080	1074	93	102	1686	1691	1094	1099	1684	1691	1686	1173	1686	1179	1010	1686	1173	1076	1159	1681	983	1680	1161	1691	1076	1686	1683	1685	1686	1174	1688	1682	1045	1691	1684	1684	1691	1691	1096	1691	104	1102	1686	1166	1665	1686	104	1073	1681	1685	94	1184	1685	1688	1686	1687	1691	1070	1168	1686	1691	82	1682	1175	1080	1691	1666	1685	1685	1686	1686	120	1077	1187	1686	1081	1077	1688	1662	93	1074	1691	1665	1171	1687	1172	1691	1691	1686	1684	1686	1190	1687	1173	1074	1686	1685	98	1686	1680	1077	1665	1686	1685	1686	1098	1687	95	1098	1691	1687	1686	1686	1096	1686	1178	1691	1691	1074	79	1687	1686	1045	1044	93	1685	94	1100	1686	1691	1661	1092	1691	1665	1691	1688	1095	1168	1691	1173	490
GCF_018735785	982	1176	982	0	972	1174	1686	1129	1685	1685	1031	1683	1665	1685	1175	1687	1685	1090	1685	1679	1665	1684	1687	1691	1682	668	1685	1102	1127	1685	1685	1109	1218	1685	1684	1685	1133	1104	1683	1685	973	1685	686	1691	1185	1685	1665	1686	1662	1664	1687	1661	1027	1128	1691	1666	1691	1685	1691	1685	1168	1691	1685	1685	1106	1679	1685	971	1683	1685	708	1686	976	1020	1685	1188	1127	1107	972	1681	1691	1683	1685	977	1685	1691	1691	1025	1677	974	1665	1133	1104	1691	1177	1686	1185	1691	1685	1691	1681	1689	1691	1176	1685	973	986	1184	1691	1684	1104	674	1184	1176	1691	1108	1685	1683	1134	1683	1682	1105	1104	972	977	1685	1691	1132	1136	1683	1691	1686	1182	1685	1182	1031	1685	1198	679	1194	1679	32	1679	1179	1691	1105	1685	1681	1684	1685	1176	1687	1681	1110	1691	1683	1683	1691	1690	1131	1691	979	1121	1685	1175	1664	1685	977	1104	1680	1684	975	1195	1685	1687	1685	1686	1691	668	1177	1685	1691	971	1683	1204	1104	1691	1662	1684	1685	1685	1685	984	1106	1193	1685	1104	1106	1687	1662	978	1102	1691	1664	1200	1686	1202	1691	1691	1685	1685	1685	1195	1687	1199	1104	1685	1684	974	1685	1679	1105	1664	1685	1684	1686	1134	1686	982	1129	1691	1686	1685	1686	1130	1685	1182	1691	1691	1102	980	1686	1686	1107	1109	972	1682	975	1138	1685	1691	1660	1129	1691	1664	1691	1687	1129	1176	1691	1182	1020
GCF_002214005	115	1167	98	972	0	1169	1687	1095	1686	1686	1010	1684	1668	1686	1171	1688	1686	1023	1686	1680	1664	1685	1688	1691	1683	1067	1686	1078	1095	1686	1686	1050	1209	1686	1685	1686	1096	1078	1686	1686	8	1686	1077	1691	1178	1686	1665	1686	1663	1665	1688	1662	1038	1096	1691	1666	1691	1686	1691	1686	1174	1691	1686	1686	1077	1680	1686	71	1684	1686	1070	1687	45	484	1686	1180	1093	1051	88	1680	1691	1684	1686	46	1686	1691	1691	487	1680	77	1665	1100	1078	1691	1171	1686	1176	1691	1686	1691	1681	1690	1691	1167	1686	8	84	1173	1691	1685	1072	1075	1177	1172	1691	1049	1686	1684	1097	1684	1683	1078	1072	88	49	1686	1691	1095	1099	1684	1691	1686	1173	1686	1178	1010	1686	1173	1073	1157	1681	973	1680	1157	1691	1077	1686	1683	1685	1686	1172	1688	1682	1051	1691	1684	1684	1691	1691	1096	1691	17	1101	1686	1165	1665	1686	50	1071	1681	1684	82	1185	1686	1688	1686	1687	1691	1067	1167	1686	1691	71	1684	1178	1078	1691	1665	1685	1686	1686	1686	115	1075	1184	1686	1079	1075	1688	1663	82	1072	1691	1665	1171	1687	1173	1691	1691	1686	1686	1686	1188	1688	1173	1072	1686	1685	12	1686	1680	1075	1665	1686	1685	1686	1098	1687	92	1098	1691	1687	1686	1686	1096	1686	1178	1691	1691	1072	90	1687	1686	1051	1050	88	1685	82	1102	1686	1691	1661	1092	1691	1665	1691	1688	1095	1167	1691	1173	485
GCF_014843335	1172	1142	1172	1174	1169	0	1683	1196	1682	1683	1195	1680	1661	1682	21	1684	1682	1186	1682	1675	1659	1681	1684	1688	1678	1176	1682	1199	1198	1682	1682	1179	1150	1682	1683	1682	1197	1202	1681	1682	1169	1682	1186	1688	1149	1682	1659	1683	1656	1661	1684	1658	1198	1199	1688	1659	1688	1682	1688	1682	1056	1688	1682	1682	1198	1676	1682	1165	1679	1682	1183	1683	1169	1155	1682	1159	1195	1180	1165	1678	1688	1680	1682	1172	1682	1688	1688	1153	1678	1169	1659	1198	1198	1688	23	1683	1153	1688	1682	1688	1680	1686	1688	1142	1682	1170	1173	81	1688	1681	1195	1181	1156	1120	1688	1181	1682	1680	1197	1681	1677	1200	1195	1165	1173	1682	1688	1200	1201	1679	1688	1683	1146	1682	1127	1195	1682	1159	1181	1106	1678	1179	1675	1064	1688	1200	1682	1678	1681	1682	1119	1684	1677	1179	1688	1680	1679	1688	1688	1198	1688	1173	1211	1682	1142	1661	1682	1168	1194	1679	1681	1167	1165	1682	1684	1682	1683	1688	1179	1146	1682	1688	1165	1680	1162	1199	1688	1660	1681	1683	1682	1682	1168	1197	1165	1682	1200	1197	1684	1656	1166	1196	1688	1661	1155	1683	1159	1688	1688	1682	1682	1682	1163	1684	1159	1195	1682	1681	1171	1682	1675	1199	1661	1682	1681	1683	1200	1683	1171	1200	1688	1683	1682	1683	1198	1682	1152	1688	1688	1196	1163	1683	1683	1180	1179	1165	1679	1167	1205	1682	1688	1656	1195	1688	1661	1688	1684	1196	1142	1688	1146	1156
GCF_003999665	1687	1685	1687	1686	1687	1683	0	1689	1296	1264	1689	1268	1688	1302	1683	1247	1296	1686	1249	1306	1686	1270	1279	1263	1259	1687	1303	1688	1689	1330	1253	1688	1684	1302	1253	1299	1689	1688	1300	1303	1687	1299	1687	1264	1685	1251	1686	1216	1687	1685	1327	1687	1685	1689	1264	1684	1263	1250	1263	1298	1685	1264	1251	1296	1688	1316	1249	1687	1256	1299	1687	1298	1687	1685	80	1685	1689	1688	1687	1270	1265	1263	1251	1687	1306	1263	1264	1685	1457	1687	1686	1689	1688	1265	1683	1354	1685	1262	1332	1260	1692	1274	1263	1685	1302	1687	1688	1683	1261	1270	1688	1687	1685	1686	1263	1688	1302	1264	1689	1250	1324	1688	1688	1687	1687	1297	1264	1689	1689	1254	1263	1216	1685	1295	1682	1689	1251	1685	1687	1686	1337	1686	1305	1684	1262	1688	1302	1263	1226	1329	1686	50	1324	1688	1263	1268	1254	1265	1267	1689	1264	1687	1688	1295	1685	1685	1297	1687	1688	1341	1250	1687	1685	1301	1276	1251	58	1263	1687	1685	1296	1264	1687	1264	1685	1688	1263	1688	1268	1215	1296	1248	1687	1688	1685	1247	1688	1688	1243	1687	1687	1688	1263	1685	1685	1251	1685	1263	1264	1253	1257	1251	1685	1278	1685	1688	1252	1278	1687	1297	1304	1688	1685	1251	1271	1354	1689	50	1687	1689	1263	1286	1250	1216	1689	1329	1685	1266	1263	1688	1687	1247	1356	1688	1688	1687	1273	1687	1689	1250	1263	1684	1689	1262	1685	1263	1262	1689	1685	1263	1685	1685
GCF_003390475	1106	1189	1095	1129	1095	1196	1689	0	1688	1689	1113	1685	1668	1688	1199	1690	1688	1107	1687	1681	1667	1686	1688	1692	1685	1136	1688	1129	44	1687	1687	1065	1210	1688	1686	1688	28	1131	1688	1688	1096	1688	1144	1692	1196	1687	1667	1687	1663	1669	1690	1665	1122	46	1692	1667	1692	1687	1692	1688	1215	1692	1687	1688	1129	1682	1687	1090	1685	1688	1145	1689	1095	1115	1688	1201	32	1065	1091	1683	1692	1685	1687	1099	1688	1692	1692	1118	1682	1093	1667	54	1128	1692	1200	1687	1196	1692	1687	1692	1682	1691	1692	1188	1688	1096	1098	1199	1692	1687	1126	1140	1197	1187	1692	1066	1688	1685	62	1686	1684	1132	1126	1091	1100	1688	1692	44	56	1685	1692	1687	1195	1688	1192	1113	1687	1198	1140	1204	1683	1132	1681	1178	1692	1132	1688	1685	1686	1687	1186	1690	1682	1065	1692	1685	1685	1692	1692	6	1692	1098	1143	1688	1189	1669	1688	1093	1127	1683	1686	1093	1207	1688	1688	1687	1689	1692	1138	1189	1688	1692	1090	1685	1203	1131	1692	1666	1687	1687	1688	1687	1097	1130	1201	1687	1130	1128	1690	1663	1097	1126	1692	1669	1197	1688	1202	1692	1692	1687	1686	1687	1208	1688	1199	1128	1687	1686	1096	1688	1681	1128	1669	1687	1687	1687	57	1689	1094	54	1692	1689	1687	1687	6	1687	1193	1692	1692	1126	1090	1688	1687	1065	1065	1091	1686	1093	68	1687	1692	1664	42	1692	1669	1692	1689	1	1188	1692	1195	1116
GCF_014304775	1686	1683	1686	1685	1686	1682	1296	1688	0	1302	1687	1283	1683	57	1682	1255	40	1685	1290	1321	1682	1307	1306	1294	1278	1686	95	1686	1688	1362	1286	1687	1682	90	1288	48	1688	1686	1296	101	1686	47	1686	1291	1683	1286	1682	1269	1682	1678	158	1683	1683	1688	1295	1682	1294	1295	1295	76	1683	1289	1285	72	1686	1334	1290	1686	1261	50	1685	48	1686	1683	1297	1683	1688	1687	1686	1287	1291	1281	1295	1686	119	1291	1289	1683	1466	1686	1682	1688	1686	1291	1682	1355	1683	1295	1364	1289	1689	1281	1294	1683	91	1686	1687	1682	1291	1277	1686	1686	1683	1685	1291	1687	81	1282	1688	1272	1343	1686	1686	1686	1686	71	1288	1688	1688	1258	1288	1273	1683	80	1684	1687	1290	1684	1685	1685	1355	1685	1322	1683	1291	1686	90	1281	1275	1362	1685	1296	1337	1687	1291	1284	1258	1289	1296	1688	1290	1686	1686	80	1683	1678	48	1686	1686	1354	1274	1686	1683	79	1302	1286	1297	1294	1686	1683	40	1295	1686	1285	1684	1686	1294	1682	1274	1272	55	1285	1686	1686	1683	1288	1686	1686	1266	1682	1686	1686	1295	1678	1684	1287	1684	1294	1291	1286	1290	1285	1683	1305	1684	1686	1296	1288	1686	52	1320	1686	1678	1285	1303	1358	1688	1294	1686	1688	1291	1254	1286	1273	1688	1361	1683	1290	1291	1686	1686	1284	1354	1687	1687	1686	1268	1686	1688	1285	1292	1683	1688	1292	1678	1294	1268	1688	1683	1294	1683	1683
GCF_001483405	1686	1684	1686	1685	1686	1683	1264	1689	1302	0	1688	1257	1683	1304	1683	1215	1298	1686	1238	1340	1680	1076	1284	1279	1256	1687	1305	1687	1689	1351	1243	1688	1681	1304	1241	1300	1689	1687	1278	1308	1686	1301	1687	1279	1684	1237	1680	1270	1683	1680	1321	1681	1683	1689	1279	1681	1279	1241	1280	1298	1684	1276	1243	1298	1687	1330	1240	1686	1250	1299	1686	1302	1686	1684	1268	1684	1689	1688	1686	1271	1284	1254	1244	1686	1307	1279	1281	1684	1457	1686	1680	1689	1687	1284	1683	1349	1684	1278	1349	1278	1688	1258	1279	1684	1304	1686	1687	1683	1278	1258	1687	1687	1684	1685	1279	1688	1302	1254	1689	1251	1306	1687	1687	1686	1686	1296	1276	1689	1689	1250	1277	1270	1684	1297	1684	1688	1240	1685	1686	1684	1345	1685	1340	1683	1279	1687	1304	1259	1243	1350	1685	1267	1325	1688	1279	1255	1250	1276	1284	1689	1280	1686	1687	1297	1684	1680	1302	1686	1687	1352	1254	1686	1684	1302	1281	1237	1266	1279	1687	1684	1298	1280	1686	1257	1685	1687	1279	1683	1256	1275	1297	1241	1686	1687	1684	1239	1687	1687	1231	1683	1686	1687	1280	1680	1685	1246	1685	1279	1280	1240	1243	1243	1684	1283	1685	1687	1241	1276	1686	1302	1341	1687	1680	1236	1073	1351	1689	1266	1687	1689	1279	1290	1240	1270	1689	1350	1684	1280	1279	1687	1686	1242	1348	1688	1688	1686	1269	1686	1689	1239	1279	1681	1689	1278	1680	1279	1264	1689	1684	1279	1684	1684
