Locus	Gene	Start	Length	Product	Allele Count	Alleles
PA0001	dnaA	483	1545	chromosome replication initiator DnaA	363	PA0001.fasta
PA0002	dnaN	2056	1104	DNA polymerase III subunit beta	282	PA0002.fasta
PA0003	recF	3169	1110	DNA replication and repair protein RecF	321	PA0003.fasta
PA0004	gyrB	4275	2421	DNA gyrase subunit B	656	PA0004.fasta
PA0005	lptA	7018	774	lysophosphatidic acid acyltransferase	197	PA0005.fasta
PA0006		7803	537	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	141	PA0006.fasta
PA0007		8671	1707	hypothetical protein	451	PA0007.fasta
PA0008	glyS	10434	2055	glycine--tRNA ligase subunit beta	480	PA0008.fasta
PA0009	glyQ	12488	948	glycine--tRNA ligase subunit alpha	209	PA0009.fasta
PA0010	tag	13540	552	DNA-3-methyladenine glycosidase I	179	PA0010.fasta
PA0011		14235	888	lipid A biosynthesis lauroyl acyltransferase	271	PA0011.fasta
PA0012		15207	267	hypothetical protein	58	PA0012.fasta
PA0013		15620	654	hypothetical protein	225	PA0013.fasta
PA0014		16335	273	hypothetical protein	112	PA0014.fasta
PA0015		16900	318	hypothetical protein	100	PA0015.fasta
PA0016	trkA	17366	1374	potassium transporter inner membrane associated protein	313	PA0016.fasta
PA0019	def	21067	507	peptide deformylase	72	PA0019.fasta
PA0020		21712	1026	hypothetical protein	241	PA0020.fasta
PA0022		24001	558	threonylcarbamoyl-AMP synthase	165	PA0022.fasta
PA0023	qor	24568	978	oxygen-dependent quinone oxidoreductase	290	PA0023.fasta
PA0024	hemF	25736	918	coproporphyrinogen III oxidase	183	PA0024.fasta
PA0025	aroE	26711	825	shikimate dehydrogenase	200	PA0025.fasta
PA0027		28613	1287	hypothetical protein	367	PA0027.fasta
PA0028		29896	603	hypothetical protein	223	PA0028.fasta
PA0029		30502	1554	sulfate transporter	415	PA0029.fasta
PA0030		32060	924	hypothetical protein	270	PA0030.fasta
PA0031	betC	33000	1512	choline sulfatase	377	PA0031.fasta
PA0032a		35549	378	DOPA 4,5-dioxygenase	97	PA0032a.fasta
PA0034		36278	624	two-component response regulator	91	PA0034.fasta
PA0035	trpA	37087	807	tryptophan synthase subunit alpha	242	PA0035.fasta
PA0036	trpB	37890	1209	tryptophan synthase subunit beta	289	PA0036.fasta
PA0038		40190	216	hypothetical protein	35	PA0038.fasta
PA0039		40589	228	hypothetical protein	28	PA0039.fasta
PA0042		56546	396	hypothetical protein	127	PA0042.fasta
PA0055		70130	507	hypothetical protein	121	PA0055.fasta
PA0056		70702	921	transcriptional regulator	268	PA0056.fasta
PA0058		72680	705	hypothetical protein	277	PA0058.fasta
PA0059	osmC	73468	456	osmotically inducible protein OsmC	101	PA0059.fasta
PA0060		74034	234	hypothetical protein	43	PA0060.fasta
PA0061		74279	438	hypothetical protein	131	PA0061.fasta
PA0062		74773	417	hypothetical protein	64	PA0062.fasta
PA0063		75281	1128	hypothetical protein	274	PA0063.fasta
PA0065		77432	666	5'-nucleotidase	199	PA0065.fasta
PA0067	prlC	78710	2046	oligopeptidase A	462	PA0067.fasta
PA0068		80752	276	hypothetical protein	63	PA0068.fasta
PA0070		82404	915	hypothetical protein	154	PA0070.fasta
PA0071		83380	1713	hypothetical protein	327	PA0071.fasta
PA0075	pppA	90106	729	serine/threonine phosphatase	135	PA0075.fasta
PA0076		90844	681	hypothetical protein	148	PA0076.fasta
