Locus	Gene	Start	Length	Product	Allele Count	Alleles
SACOL0001	dnaA	544	1362	chromosomal replication initiation protein	950	SACOL0001.fasta
SACOL0002	dnaN	2183	1134	DNA polymerase III subunit beta	1184	SACOL0002.fasta
SACOL0003		3697	246	hypothetical protein	174	SACOL0003.fasta
SACOL0004	recF	3939	1113	recombination protein F	842	SACOL0004.fasta
SACOL0005	gyrB	5061	1935	DNA gyrase, B subunit	1366	SACOL0005.fasta
SACOL0006	gyrA	7032	2664	DNA gyrase, A subunit	1930	SACOL0006.fasta
SACOL0007		9782	702	hypothetical protein	612	SACOL0007.fasta
SACOL0009	serS	12813	1287	seryl-tRNA synthetase	988	SACOL0009.fasta
SACOL0010		14749	696	hypothetical protein	910	SACOL0010.fasta
SACOL0011		15441	330	hypothetical protein	430	SACOL0011.fasta
SACOL0012		16112	990	homoserine O-acetyltransferase	1195	SACOL0012.fasta
SACOL0013		17407	924	hypothetical protein	940	SACOL0013.fasta
SACOL0014		18345	1968	hypothetical protein	1699	SACOL0014.fasta
SACOL0015	rplI	20309	447	50S ribosomal protein L9	438	SACOL0015.fasta
SACOL0016	dnaB	20787	1401	replicative DNA helicase	1164	SACOL0016.fasta
SACOL0018	purA	22465	1284	adenylosuccinate synthetase	892	SACOL0018.fasta
SACOL0019	yycF	24952	702	DNA-binding response regulator YycF	453	SACOL0019.fasta
SACOL0020	yycG	25666	1827	sensory box histidine kinase YycG	1708	SACOL0020.fasta
SACOL0022	yycI	28820	789	hypothetical protein	795	SACOL0022.fasta
SACOL0023	yycJ	29998	801	metallo-beta-lactamase YycJ	649	SACOL0023.fasta
SACOL0024		31026	2319	5'-nucleotidase	2180	SACOL0024.fasta
SACOL0025		33576	480	hypothetical protein	767	SACOL0025.fasta
SACOL0077		87500	483	hypothetical protein	592	SACOL0077.fasta
SACOL0078	plc	88187	987	1-phosphatidylinositol phosphodiesterase	1106	SACOL0078.fasta
SACOL0084		92790	2199	AraC family transcriptional regulator	2174	SACOL0084.fasta
SACOL0085		95139	1179	M20/M25/M40 family peptidase	1325	SACOL0085.fasta
SACOL0086		96319	1389	drug transporter	1559	SACOL0086.fasta
SACOL0088		98200	1662	Na/Pi cotransporter family protein	1468	SACOL0088.fasta
SACOL0089		100187	1776	myosin-cross-reactive antigen	1802	SACOL0089.fasta
SACOL0092		104708	474	hypothetical protein	491	SACOL0092.fasta
SACOL0093		105443	1593	L-lactate permease	1395	SACOL0093.fasta
SACOL0096	sarS	109311	753	accessory regulator S	691	SACOL0096.fasta
SACOL0097	sirC	110432	999	iron compound ABC transporter permease SirC	875	SACOL0097.fasta
SACOL0098	sirB	111427	996	iron compound ABC transporter permease SirB	1041	SACOL0098.fasta
SACOL0099	sirA	112438	993	iron compound ABC transporter iron compound-binding protein SirA	848	SACOL0099.fasta
SACOL0100		113694	948	cysteine synthase/cystathionine beta-synthase	743	SACOL0100.fasta
SACOL0101		114650	999	ornithine cyclodeaminase	882	SACOL0101.fasta
SACOL0102		115669	1755	IucC family siderophore biosynthesis protein	1493	SACOL0102.fasta
SACOL0105		120379	1779	IucC family siderophore biosynthesis protein	1649	SACOL0105.fasta
SACOL0107		122908	1203	pyridoxal-dependent decarboxylase	1053	SACOL0107.fasta
SACOL0108		124114	765	hypothetical protein	692	SACOL0108.fasta
SACOL0111		126369	777	acetoin reductase	894	SACOL0111.fasta
SACOL0113		127490	972	NAD-dependent epimerase/dehydratase	973	SACOL0113.fasta
SACOL0117		131701	1431	polysaccharide extrusion protein	1435	SACOL0117.fasta
SACOL0118	sodA1	133399	600	superoxide dismutase	477	SACOL0118.fasta
SACOL0120		135283	756	GntR family transcriptional regulator	634	SACOL0120.fasta
SACOL0121	deoD1	136274	708	purine nucleoside phosphorylase	723	SACOL0121.fasta
SACOL0122		136988	1353	tetracycline resistance protein	1240	SACOL0122.fasta
SACOL0124	deoB	139111	1179	phosphopentomutase	895	SACOL0124.fasta
SACOL0125		140420	816	phosphonate ABC transporter permease	935	SACOL0125.fasta
SACOL0126		141232	801	phosphonate ABC transporter permease	894	SACOL0126.fasta
SACOL0127		142034	774	phosphonate ABC transporter ATP-binding protein	877	SACOL0127.fasta
SACOL0128		143021	957	phosphonate ABC transporter phosphonate-binding protein	1046	SACOL0128.fasta
SACOL0130		145801	1536	5' nucleotidase	1745	SACOL0130.fasta
SACOL0135		150451	2610	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	2296	SACOL0135.fasta
SACOL0136	cap5A	153405	669	capsular polysaccharide biosynthesis protein Cap5A	708	SACOL0136.fasta
SACOL0137	cap5B	154089	687	capsular polysaccharide biosynthesis protein Cap5B	753	SACOL0137.fasta
SACOL0138	cap5C	154778	765	capsular polysaccharide biosynthesis protein Cap5C	799	SACOL0138.fasta
SACOL0139	cap5D	155562	1824	capsular polysaccharide biosynthesis protein Cap5D	2093	SACOL0139.fasta
SACOL0141	cap5F	158416	1110	capsular polysaccharide biosynthesis protein Cap5F	1120	SACOL0141.fasta
SACOL0142	cap5G	159529	1125	UDP-N-acetylglucosamine 2-epimerase Cap5G	951	SACOL0142.fasta
SACOL0147	cap5L	164775	1206	capsular polysaccharide biosynthesis protein Cap5L	1319	SACOL0147.fasta
SACOL0148	cap5M	165991	558	capsular polysaccharide biosynthesis galactosyltransferase Cap5M	514	SACOL0148.fasta
SACOL0149	cap5N	166548	888	capsular polysaccharide biosynthesis protein Cap5N	998	SACOL0149.fasta
SACOL0150	cap5O	167489	1263	capsular polysaccharide biosynthesis protein Cap5O	1229	SACOL0150.fasta
SACOL0152		170038	327	heme-degrading monooxygenase IsdI	357	SACOL0152.fasta
SACOL0153		170371	384	hypothetical protein	382	SACOL0153.fasta
SACOL0154	aldA1	171181	1488	aldehyde dehydrogenase	1426	SACOL0154.fasta
SACOL0155		173314	960	cation efflux family protein	1000	SACOL0155.fasta
SACOL0156		174335	204	hypothetical protein	243	SACOL0156.fasta
SACOL0157		174717	513	hypothetical protein	560	SACOL0157.fasta
SACOL0159		177296	762	ABC transporter permease	923	SACOL0159.fasta
SACOL0160		178070	1032	hypothetical protein	1193	SACOL0160.fasta
SACOL0164		182958	7176	gramicidin S synthetase 2 related protein	6202	SACOL0164.fasta
SACOL0165		190146	645	4'-phosphopantetheinyl transferase	649	SACOL0165.fasta
SACOL0166		191118	495	hypothetical protein	494	SACOL0166.fasta
SACOL0167	argB	191867	765	acetylglutamate kinase	771	SACOL0167.fasta
SACOL0168	argJ	192647	1242	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	1413	SACOL0168.fasta
SACOL0169	argC	193900	1032	N-acetyl-gamma-glutamyl-phosphate reductase	1109	SACOL0169.fasta
SACOL0170	rocD1	194970	1185	ornithine aminotransferase	1508	SACOL0170.fasta
SACOL0171	brnQ1	196407	1356	branched-chain amino acid transport system II carrier protein	1108	SACOL0171.fasta
SACOL0172	entB	198038	498	isochorismatase	561	SACOL0172.fasta
SACOL0173	ipdC	198662	1641	indole-3-pyruvate decarboxylase	1671	SACOL0173.fasta
SACOL0175		200576	2046	PTS system, IIABC components	1592	SACOL0175.fasta
SACOL0176		203207	1056	hypothetical protein	1164	SACOL0176.fasta
SACOL0177	murQ	204259	900	N-acetylmuramic acid-6-phosphate etherase	1593	SACOL0177.fasta
SACOL0178		205170	1455	PTS system, IIBC components	1531	SACOL0178.fasta
SACOL0179		206627	876	RpiR family phosphosugar-binding transcriptional regulator	784	SACOL0179.fasta
SACOL0180		208190	2790	type I restriction-modification enzyme, R subunit	2623	SACOL0180.fasta
SACOL0184		214315	1593	peptide ABC transporter ATP-binding protein	1777	SACOL0184.fasta
